Designated,Designated Use,Line Name
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
No,All,17-35
No,All,17-35
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
Yes,All,17-18
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
No,All,17-35
Yes,All,17-35
Yes,All,18-224
No,All,6-15
No,All,6-15
No,All,6-15
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
Yes,All,7-24
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,15-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,16-104
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
No,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
Yes,All,6-15
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,7-24
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
No,All,8-104
Yes,All,8-104
Yes,All,8-104
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,16-24
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,24-228
Yes,All,113-114
Yes,All,113-116
Yes,All,44-239
Yes,All,24-228
Yes,All,24-228
No,All,116-206
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
No,All,110-114
