Name,Type,City,County,State,FAA Region,Site No.,Control Tower,Facility Use,Owner Type,Latitude,Longitude
THOMAS FIELD,AIRPORT,HOLLY SPRINGS,MARSHALL,MS,ASO,11267.*A,N,PR,PR,34.8069444444,-89.4616666667
HAWKS NEST FARM,AIRPORT,WEST UNION,OCONEE,SC,ASO,22567.*A,N,PR,PR,34.8080555556,-82.9986111111
CARLISLE MUNI,AIRPORT,CARLISLE,LONOKE,AR,ASW,00913.*A,N,PU,PU,34.8082222222,-91.7121111111
PICKENS COUNTY,AIRPORT,PICKENS,PICKENS,SC,ASO,22483.1*A,N,PU,PU,34.8099722222,-82.7028888889
SCHLOSS ADLERS,AIRPORT,RED BANKS,MARSHALL,MS,ASO,11414.3*A,N,PR,PR,34.8109297222,-89.5784144444
OAKVIEW,AIRPORT,SIX MILE,PICKENS,SC,ASO,22528.*A,N,PR,PR,34.8123297222,-82.8187527778
COUNTRY AIR ESTATES,AIRPORT,LONOKE,LONOKE,AR,ASW,01060.02*A,N,PR,PR,34.8138888889,-92.0000000000
JOHN FARESE AIRPARK,AIRPORT,ASHLAND,BENTON,MS,ASO,11130.*A,N,PR,PR,34.8138888889,-89.1996166667
CHOCTAW INDIAN HOSPITAL,HELIPORT,TALIHINA,LATIMER,OK,ASW,19254.02*H,N,PR,PR,34.8138952778,-95.0941358333
ROBINSONVILLE,HELIPORT,ROBINSONVILLE,TUNICA,MS,ASO,11458.24*H,N,PR,PU,34.8166666667,-90.3029166667
GREEN POND,AIRPORT,WOODRUFF,SPARTANBURG,SC,ASO,22580.02*A,N,PR,PR,34.8166666667,-82.0833333333
THREE RIVERS,AIRPORT,LITTLE ROCK,PULASKI,AR,ASW,01056.1*A,N,PR,PR,34.8224444444,-92.4444166667
CHANDELLE,AIRPORT,GREER,SPARTANBURG,SC,ASO,22316.11*A,N,PR,PR,34.8228986111,-82.1481652778
DAWSON'S,AIRPORT,BRICKEYS,LEE,AR,ASW,00905.*A,N,PR,PR,34.8258611111,-90.5433333333
TAILWINDS,AIRPORT,ST. PAULS,ROBESON,NC,ASO,17077.1*A,N,PR,PR,34.8275000000,-78.9302777778
GEORGIA MOUNTAIN,HELIPORT,BLUE RIDGE,FANNIN,GA,ASO,03669.*H,N,PR,PR,34.8280555556,-84.3547222222
ALBERT J ELLIS,AIRPORT,JACKSONVILLE,ONSLOW,NC,ASO,16815.1*A,N,PU,PU,34.8291666667,-77.6121388889
FLYING H,AIRPORT,ASHLAND,PITTSBURG,OK,ASW,18796.5*A,N,PR,PR,34.8295380556,-96.0341650000
HOME,HELIPORT,PERALTA,VALENCIA,NM,ASW,14691.*H,N,PR,PR,34.8305555556,-106.6775000000
FROST FLYING INC,AIRPORT,MARIANNA,LEE,AR,ASW,01076.1*A,N,PR,PR,34.8305555556,-90.8533333333
SKYOTEE RANCH,AIRPORT,ROSAMOND,KERN,CA,AWP,02116.211*A,N,PR,PR,34.8319227778,-118.4009141667
BIG CREEK FLYING RANCH,AIRPORT,CLAYTON,RABUN,GA,ASO,03722.*A,N,PR,PR,34.8328705556,-83.4096063889
NORTH LITTLE ROCK MUNI,AIRPORT,NORTH LITTLE ROCK,PULASKI,AR,ASW,01118.*A,N,PU,PU,34.8331388889,-92.2541388889
HAWKS MEADOW,AIRPORT,WAXHAW,UNION,NC,ASO,17191.11*A,N,PR,PR,34.8332041667,-80.7511783333
CAMINO AIRSTRIP,AIRPORT,GOFFS,SAN BERNARDINO,CA,AWP,01619.*A,N,PR,PR,34.8350005556,-114.9571947222
NICHOL AIRPARK,AIRPORT,HOLLY SPRINGS,BENTON,MS,ASO,11267.12*A,N,PR,PR,34.8374166667,-89.2613333333
MC NEILL RANCH,AIRPORT,WAYSIDE,ARMSTRONG,TX,ASW,24987.4*A,N,PR,PR,34.8375555556,-101.5787877778
