Site Name,State or Territory,Branch and Status
Stones Ranch Military Reservation,Connecticut,Army Guard
McGuire AFB,New Jersey,AF Active
Fort Dix,New Jersey,AF Active
MCAS Beaufort LB Housing,South Carolina,MC Active
MCSF Blount Island,Florida,MC Active
MCRD Beaufort Parris Island,South Carolina,MC Active
MTA Camp Shelby,Mississippi,Army Guard
MCAS Beaufort,South Carolina,MC Active
Camp Dodge Johnston TS,Iowa,Army Guard
MCLB Albany,Georgia,MC Active
MCLB Albany Housing Area #1,Georgia,MC Active
NSA Midsouth Memphis,Tennessee,Navy Active
GL Forrestal Village,Illinois,Navy Active
GL Camp JPJ,Illinois,Navy Active
NOSC Battle Creek,Michigan,Navy Reserve
NOSC Columbus,Ohio,Navy Reserve
NOLF Choctaw,Florida,Navy Active
NSA Crane,Indiana,Navy Active
NOSC Toledo Oh,Ohio,Navy Reserve
Corry Station,Florida,Navy Active
NOLF Holley,Florida,Navy Active
OLF Bronson,Florida,Navy Active
NSA New Orleans East Bank,Louisiana,Navy Active
NAS JRB New Orleans,Louisiana,Navy Active
OLF Bravo,Mississippi,Navy Active
NS Ingleside,Texas,Navy Active
CBC Gulfport Lakeside Housing,Mississippi,Navy Active
Pinecastle E.W. Range,Florida,Navy Active
NAS Kingsville King Ranch,Texas,Navy Active
ALF Orange,Texas,Navy Active
NOLF Brewton,Alabama,Navy Active
NOLF Silverhill,Alabama,Navy Active
Barin Field,Alabama,Navy Active
NOLF Summerdale,Alabama,Navy Active
CBC Gulfport,Mississippi,Navy Active
NAS JRB Fort Worth,Texas,Navy Active
NS Mayport,Florida,Navy Active
ALF Cabaniss,Texas,Navy Active
NS Mayport FISC,Florida,Navy Active
NS Mayport Ribault Bay Village,Florida,Navy Active
Iowa AAP,Iowa,Army Active
NAS Kingsville,Texas,Navy Active
ALF Waldron,Texas,Navy Active
Newport Chem Depot,Indiana,Army Active
Dixie Target Range,Texas,Navy Active
NOLF Spencer,Florida,Navy Active
NOLF Santa Rosa,Florida,Navy Active
NOLF Wolf,Alabama,Navy Active
Whiting Pines,Florida,Navy Active
NAS Whiting Field Milton,Florida,Navy Active
NAS Corpus Christi,Texas,Navy Active
NAVSUBASE Kings Bay,Georgia,Navy Active
OLF Whitehouse,Florida,Navy Active
