Buffer Distance,Comments,Designated,Designated Use,Name,Width (ft)
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,68-116,5280
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-24,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-24,3500
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,68-116,5280
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, designated, 1000' width",Yes,All,17-35,1000
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,6-15,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,4-247,3500
0.00000000000,"Electric only, not designated, 2000' width",No,Electric-only,261-262,2000
0.00000000000,"Electric upgrade only, designated, 500' width",Yes,"Elec-only, Upgr-only",102-105,500
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,4-247,1500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,4-247,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,35-43,3500
0.00000000000,"Multimodal, not designated, 500' width",No,All,15-104,500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,17-35,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,36-228,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,35-111,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,261-262,3500
0.00000000000,"Electric only, not designated, 2000' width",No,Electric-only,261-262,2000
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,101-263,3500
0.00000000000,"Multimodal, not designated, 1320' width",No,All,18-23,1320
0.00000000000,"Multimodal, not designated, 500' width",No,All,8-104,500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, 500' width",No,All,16-104,500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,68-116,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,6-15,3500
0.00000000000,"Multimodal, designated, 2000' (3500' for Alt 2)",Yes,All,114-241,2000
0.00000000000,"Electric upgrade only, designated, 500' width",Yes,"Elec-only, Upgr-only",102-105,500
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,7-11,1500
0.00000000000,"Multimodal, designated, 5280' width",Yes,All,113-116,5280
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, designated, variable width",Yes,All,256-257,-1
0.00000000000,"Multimodal, designated, 10560' width",Yes,All,18-23,1056
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,15-104,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,16-104,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-11,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,116-206,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,36-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,11-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,29-36,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,16-104,3500
0.00000000000,"Multimodal, designated, default 3500' width",Yes,All,51-204,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,110-114,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,3-8,3500
0.00000000000,"Multimodal, designated, 1500' width",Yes,All,7-11,1500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,110-114,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,11-228,3500
0.00000000000,"Multimodal, designated, 10560' width",Yes,All,18-23,1056
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,51-205,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,50-51,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,11-228,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,29-36,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,7-24,3500
0.00000000000,"Multimodal, not designated, default 3500' width",No,All,51-205,3500
