Name,City,State,Zip Code,Plant Operator,Plant Desc.,Operating Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Planned Capacity (MW),Retired Capacity (MW),Operating Units,Planned Units,Retired Units,Fuel 1,Fuel 2,Net Gen. MWh,Capacity Factor,Sub 1,Sub 2,No. Lines,NAICS Code,NAICS Desc.,SIC Code,Source,Source Date
Bosque County,"Laguna Park, TX",TX,76634,Fulcrum Power Services LP,"Gas-fired Power Plant (781 MW of operating capacity, 0 MW of planned capacity, and 308 MW of retired capacity)",781,783,839,0,308,2,0,2,Gas,,1180520,17.21,Bosque Switch,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,01/2002
BP Chemicals Green Lake,"Bloomington, TX",TX,77979,BP Chemicals Green Lake,"Power Plant (38.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",38.8,38.8,38.8,0,0,2,0,0,Other,,3255,0.96,Vistron,,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
Buchanan (TX),"Buchanan Dam, TX",TX,78611,Lower Colorado River Authority,"Hydroelectric Power Plant (47.8 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",47.8,54,54,0,0,3,0,0,Water,,26802,5.67,Coronado,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,09/2002
Buffalo Gap 2,"Blair, TX",TX,79537,AES Wind Generation Inc,"Renewable Energy Power Plant (232.5 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",232.5,232.5,232.5,0,0,1,0,0,Renew,,343888,16.88,Buffalo Gap 2,,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
Buffalo Gap Wind Farm,"Blair, TX",TX,79536,AES Wind Generation Inc,"Renewable Energy Power Plant (120.6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",120.6,120.6,120.6,0,0,1,0,0,Renew,,237641,22.49,Buffalo Gap Wind Farm,,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
Callahan Divide Wind Energy Center,"View, TX",TX,79536,FPL Energy Callahan Wind LLC,"Renewable Energy Power Plant (114 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",114,114,114,0,0,1,0,0,Renew,,298822,29.92,Callahan Divide Wind Energy Center,,1,221119,Other Electric Power Generation,491,Aerial Imagery,na
Canyon,"Canyon Lake, TX",TX,78133,Guadalupe Blanco River Authority,"Hydroelectric Power Plant (6 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",6,6,6,0,0,2,0,0,Water,,1567,2.98,Canyon Dam,,1,221111,Hydroelectric Power Generation,491,Aerial Imagery,na
Capricorn Ridge Wind Farm,"Sterling City, TX",TX,76951,Capricorn Ridge Wind LLC,"Renewable Energy Power Plant (649 MW of operating capacity, 0 MW of planned capacity, and 0 MW of retired capacity)",649,649,649,0,0,3,0,0,Renew,,1155420,20.32,Capricorn Ridge Wind Farm,,0,221119,Other Electric Power Generation,491,Ventyx Research,07/2007
Cedro Hill Wind,"Bruni, TX",TX,78043,Mission Wind Cedro LLC,"Renewable Energy Power Plant (150 MW of operating capacity, 650 MW of planned capacity, and 0 MW of retired capacity)",150,150,150,650,0,1,3,0,Renew,,0,0,Cedro Hill Wind,,0,221119,Other Electric Power Generation,491,Ventyx Research,06/2009
Celanese Engineering Resin Inc,"Viola, TX",TX,78409,Celanese Engineering Resin Inc,"Gas-fired Power Plant (44.2 MW of operating capacity, 0 MW of planned capacity, and 65 MW of retired capacity)",44.2,32.5,38,0,65,1,0,5,Gas,,175409,61.61,Celanese Engineering Resin Inc,,0,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Central Texas Veterans VA Solar,"Temple, TX",TX,76504,US Dept of Veterans Affairs,"Renewable Energy Power Plant (0 MW of operating capacity, 2.6 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,2.6,0,0,1,0,Renew,,0,0,Central Texas Veterans VA Solar,,0,221119,Other Electric Power Generation,491,Ventyx Research,08/2011
City Farm Solar Project,"San Angelo, TX",TX,76905,Terra Gen Power LLC,"Renewable Energy Power Plant (0 MW of operating capacity, 90 MW of planned capacity, and 0 MW of retired capacity)",0,0,0,90,0,0,1,0,Renew,,0,0,City Farm Solar Project,,0,221119,Other Electric Power Generation,491,Nearest City,09/2009
Coleman (TX),"Coleman, TX",TX,76834,Coleman TX (City of),"Gas-fired Power Plant (0 MW of operating capacity, 0 MW of planned capacity, and 18.6 MW of retired capacity)",0,0,0,0,18.6,0,0,11,Gas,,0,0,Coleman (TX),,0,221112,Fossil Fuel Electric Power Generation,491,ZIP Code Centroid,na
Coleto Creek,"Fannin, TX",TX,77963,Coleto Creek Power LP,"Coal-fired Power Plant (600.4 MW of operating capacity, 660 MW of planned capacity, and 0 MW of retired capacity)",600.4,632,632,660,0,1,1,0,Coal,,5256270,94.94,Coleto Creek,,1,221112,Fossil Fuel Electric Power Generation,491,Aerial Imagery,na
Comanche Peak,"Glen Rose, TX",TX,76043,Luminant,"Nuclear Power Plant (2539.36 MW of operating capacity, 3400 MW of planned capacity, and 0 MW of retired capacity)",2539.36,2367,2352,3400,0,2,2,0,Nuc,,20141500,97.14,Comanche Peak,,1,221113,Nuclear Electric Power Generation,491,Aerial Imagery,na
