Name,Owner Type,Regulation,Control Area,Plan Area,Holding Co.,Summer Peak,Winter Peak,Summer Capacity,Winter Capacity,Net Gen. MW,Source,Source Date
Mora San Miguel Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Tri State G & T Association Inc,Mora San Miguel Electric Coop Inc,12,16,0,0,0,Regional Maps; Ventyx Research,Unknown
Sherburne NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Sherburne NY (Village of),11,17,0,0,0,Previously Mapped Features; Ventyx Research,na
Watkins Glen NY (Village of),Muni,Regulated,New York ISO,New York Power Authority,Watkins Glen NY (Village of),9,10,0,0,0,Previously Mapped Features; Ventyx Research,na
Westfield NY (Village of),Muni,Regulated,New York ISO,New York Power Authority,Westfield NY (Village of),11,18,0,0,0,Previously Mapped Features; Ventyx Research,na
Frankfort Power & Light,Muni,Regulated,New York ISO,New York Power Authority,Frankfort Power & Light,5,6,0,0,0,Previously Mapped Features; Ventyx Research,na
Otero County Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Tri State G & T Association Inc,Otero County Electric Coop Inc,36,31,0,0,0,Regional Maps; Ventyx Research,Unknown
Socorro Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Tri State G & T Association Inc,Socorro Electric Coop Inc,33,32,0,0,0,Regional Maps; Ventyx Research,Unknown
Skaneateles NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Skaneateles NY (Village of),6,6,0,0,0,Previously Mapped Features; Ventyx Research,na
Sierra Electric Coop Inc,DistCoop,Regulated,WAPA Rocky Mountain Region,Tri State G & T Association Inc,Sierra Electric Coop Inc,14,9,0,0,0,Regional Maps; Ventyx Research,Unknown
Truth OR Consequences NM (City of),Muni,Regulated,Public Service Co of New Mexico,Public Service Co of New Mexico,Truth OR Consequences NM (City of),10,8,0,0,0,Previously Mapped Features; Ventyx Research,2000
Sherrill Dept of Power & Light,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Sherrill Dept of Power & Light,8,11,0,0,0,Previously Mapped Features; Ventyx Research,na
Hearthmakers Energy Coop,DistCoop,,,,Hearthmakers Energy Coop,0,0,0,0,0,Company Maps; Ventyx Research,2010
Akron NY (Village of),Muni,Regulated,New York ISO,New York Power Authority,Akron NY (Village of),10,12,0,0,0,Previously Mapped Features; Ventyx Research,na
Greenport NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Greenport NY (Village of),7,6,4.88,4.88,-262,Ventyx Research,na
Lake Placid Village Inc,Muni,Regulated,New York ISO,New York Independent System Operator Inc,Lake Placid Village Inc,23,43,0,0,0,Previously Mapped Features; Ventyx Research,na
Rockville Centre NY (Village of),Muni,Regulated,New York ISO,New York Power Authority,Rockville Centre NY (Village of),46,34,33.8,33.6,1781,Previously Mapped Features; Ventyx Research,na
Greene NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Greene NY (Village of),6,10,0,0,0,Previously Mapped Features; Ventyx Research,na
Groton NY (Village of),Muni,Regulated,New York ISO,New York Independent System Operator Inc,Groton NY (Village of),3,7,0,0,0,Previously Mapped Features; Ventyx Research,na
Central Hudson Gas & Electric Corp,IOU,Regulated,New York ISO,New York Independent System Operator Inc,CH Energy Group Inc,1107,910,74.15,86.8,88251,Regional Maps; Ventyx Research,2011
