"year","month","mei","mei_lag12","npgo","npgo_lag12","pdo","pdo_lag12"
2000,6,0.001,-0.339,2.22920956666667,1.7187849,-0.0466666666666667,-0.796666666666667
2000,7,-0.159,-0.478,1.9927144,1.63034596666667,-0.383333333333333,-0.88
2000,8,-0.145,-0.739,1.70315946666667,1.57330333333333,-0.763333333333333,-0.973333333333333
2000,9,-0.238,-0.967,1.46253056666667,1.3731841,-1.03,-1.05
2000,10,-0.391,-0.97,1.47666493333333,1.3057506,-1.24333333333333,-1.57333333333333
2000,11,-0.713,-1.041,1.69765413333333,1.26811226666667,-1.02333333333333,-1.93666666666667
2000,12,-0.55,-1.142,1.9592593,1.18405886666667,-0.436666666666667,-1.97
2001,1,-0.496,-1.122,2.3471742,1.25929806666667,0.196666666666667,-1.89333333333333
2001,2,-0.649,-1.189,2.66099153333333,1.5269583,0.47,-1.48666666666667
2001,3,-0.548,-1.09,2.73558486666667,1.89244573333333,0.446666666666667,-0.846666666666667
2001,4,-0.05,-0.397,2.51625436666667,2.21268976666667,0.143333333333333,-0.0633333333333334
2001,5,0.282,0.251,2.18220386666667,2.2449434,-0.0533333333333333,0.196666666666667
2001,6,0.052,0.001,2.16904653333333,2.22920956666667,-0.36,-0.0466666666666667
2001,7,0.297,-0.159,1.93456183333333,1.9927144,-0.693333333333333,-0.383333333333333
2001,8,0.332,-0.145,1.9216048,1.70315946666667,-0.85,-0.763333333333333
2001,9,-0.174,-0.238,1.76950226666667,1.46253056666667,-1.15,-1.03
2001,10,-0.276,-0.391,1.6566437,1.47666493333333,-1.17,-1.24333333333333
2001,11,-0.151,-0.713,1.60647726666667,1.69765413333333,-1.33333333333333,-1.02333333333333
2001,12,0.033,-0.55,1.64863983333333,1.9592593,-1.18666666666667,-0.436666666666667
2002,1,0.017,-0.496,1.88272176666667,2.3471742,-0.64,0.196666666666667
2002,2,-0.16,-0.649,2.0203324,2.66099153333333,-0.433333333333333,0.47
2002,3,-0.118,-0.548,1.97993013333333,2.73558486666667,-0.266666666666667,0.446666666666667
2002,4,0.401,-0.05,1.65768508666667,2.51625436666667,-0.463333333333333,0.143333333333333
2002,5,0.886,0.282,1.29942382,2.18220386666667,-0.46,-0.0533333333333333
2002,6,0.932,0.052,1.20179548666667,2.16904653333333,-0.433333333333333,-0.36
2002,7,0.712,0.297,1.36342026666667,1.93456183333333,-0.43,-0.693333333333333
2002,8,1.002,0.332,1.26651045,1.9216048,-0.02,-0.85
2002,9,0.881,-0.174,1.00618371333333,1.76950226666667,0.24,-1.15
