Management,Type,Acres,District,Name,Organization
National Forest Service,Wilderness Area,7121.44819332000,Bass Lake Ranger District,Sierra National Forest,Ansel Adams Wilderness
National Forest Service,Wilderness Area,7810.97047003000,High Sierra Ranger District,Sierra National Forest,Sierra National Forest
National Forest Service,Historic/Scenic Trail,7174.14063870000,Greys River Ranger District,Bridger-Teton National Forest,
National Forest Service,Historic/Scenic Trail,0.00519544738,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,47817.53557880000,Buffalo Ranger District,Bridger-Teton National Forest,
National Forest Service,National Wildlife Refuge,7.21792746852,,Modoc National Forest,TULE LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Historic/Scenic Trail,29805.52643890000,Big Valley Ranger District,Modoc National Forest,
National Forest Service,Historic/Scenic Trail,0.47270426316,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,0.11318475202,Lost River Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,0.02523702779,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,0.02523702779,Sula Ranger District,Bitterroot National Forest,
National Forest Service,National Wildlife Refuge,1.76099603730,,Modoc National Forest,TULE LAKE NATIONAL WILDLIFE REFUGE
National Forest Service,Wilderness Area,73285.18410309999,Skykomish Ranger District,Mt Baker-Snoqualmie National Forest,Alpine Lakes Wilderness
National Forest Service,Historic/Scenic Trail,0.04888483574,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Historic/Scenic Trail,0.00519544738,Sula Ranger District,Bitterroot National Forest,
National Forest Service,Historic/Scenic Trail,0.04888483574,Dubois Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,1.38025510562,Dubois Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,1.38025510562,Dillon Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,1.91163063223,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,1.91163063223,Madison Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,0.82984303256,Ashton/Island Park Ranger District,Caribou-Targhee National Forest,
National Forest Service,Historic/Scenic Trail,0.82984303256,Hebgen Lake Ranger District,Gallatin National Forest,
National Forest Service,Historic/Scenic Trail,9.87098732938,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,9.87098732938,North Fork Ranger District,Salmon-Challis National Forest,
National Forest Service,Wilderness Area,51655.84660100000,Pine Valley Ranger District,Dixie National Forest,Pine Valley Mountain Wilderness
National Forest Service,Wilderness Area,44787.76796670000,Skykomish Ranger District,Mt Baker-Snoqualmie National Forest,Henry M. Jackson Wilderness
National Forest Service,Wilderness Area,4639.83658711000,Clackamas River Ranger District,Mt. Hood National Forest,Mount Jefferson Wilderness
National Forest Service,Wilderness Area,89068.12901439999,Methow Valley Ranger District,Okanogan National Forest,Lake Chelan-Sawtooth Wilderness
National Forest Service,Wilderness Area,498442.72152199998,Methow Valley Ranger District,Okanogan National Forest,Pasayten Wilderness
National Forest Service,Wilderness Area,142538.22402500000,Chelan Ranger District,Okanogan-Wenatchee National Forests,Glacier Peak Wilderness
National Forest Service,Historic/Scenic Trail,0.22946489143,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,
National Forest Service,Historic/Scenic Trail,0.22946489143,Leadore Ranger District,Salmon-Challis National Forest,
National Forest Service,Wilderness Area,17088.98885260000,Wisdom Ranger District,Beaverhead-Deerlodge National Forest,Anaconda Pintler Wilderness
National Forest Service,Wilderness Area,50823.87005570000,Wise River Ranger District,Beaverhead-Deerlodge National Forest,Anaconda Pintler Wilderness
National Forest Service,Wilderness Area,102079.63361000000,Darby Ranger District,Bitterroot National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,96224.40536510000,Stevensville Ranger District,Bitterroot National Forest,Selway-Bitterroot Wilderness
National Forest Service,Wilderness Area,4.08621143181,Jackson Ranger District,Bridger-Teton National Forest,Jedediah Smith Wilderness
National Forest Service,Wilderness Area,108.83117255100,Stevensville Ranger District,Bitterroot National Forest,Welcome Creek Wilderness
National Forest Service,Wilderness Area,13841.11389460000,Big Piney Ranger District,Bridger-Teton National Forest,Gros Ventre Wilderness
