Latitude,Longitude,State,Region,Area with GCF > 30%,Area with GCF > 35%,Area with GCF > 40%,Area (km^2)
47.724200,-116.533800,Idaho,West,13.07,10.43,6.69,416.643671577
47.636800,-117.062400,Washington,West,67.57,47.22,35.68,416.261790378
47.546100,-116.470300,Idaho,West,25.54,19.38,14.9,415.672237205
47.503000,-116.733800,Idaho,West,108.6,77.4,24.55,415.431152166
47.459100,-116.996700,Idaho,West,340.05,310.53,202.2,415.142592912
47.769400,-117.393400,Washington,West,21,13.63,2.58,416.897991655
47.723400,-117.657300,Washington,West,236.23,224.9,163.02,416.647603478
47.591900,-117.325900,Washington,West,127.82,124.04,105.25,415.969067571
47.414500,-117.259000,Washington,West,345.02,344.1,334.71,414.922441093
47.369000,-117.520700,Washington,West,236.78,235.07,215.64,414.595054667
41.364200,-70.567400,Massachusetts,Northeast US,45.74,45.74,45.74,164.117592412
47.676600,-117.920600,Washington,West,403.18,402.64,310.68,416.463394384
47.629100,-118.183300,Washington,West,365.14,363.79,360.26,416.129539820
47.580700,-118.445300,Washington,West,414.11,414.11,412.71,415.954079544
47.499600,-117.850900,Washington,West,413.47,413.47,208.58,415.290767826
47.404200,-118.373400,Washington,West,319.62,317.72,272.98,414.933988277
47.322800,-117.781800,Washington,West,405.64,405.64,346.37,414.296858634
47.275800,-118.042200,Washington,West,405.53,405.04,78.46,414.077190959
47.227900,-118.302000,Washington,West,389.11,384.87,182.12,413.817024190
47.179300,-118.561200,Washington,West,403.12,403.12,386.5,413.455867236
48.208600,-118.133800,Washington,West,31.98,18.46,7.12,419.511195140
48.160100,-118.399900,Washington,West,21.51,15.45,7.9,419.232808120
48.031100,-118.062100,Washington,West,49.4,27.27,11.86,418.439879453
47.853800,-117.991100,Washington,West,125.6,33.23,21.66,417.446619149
47.805900,-118.254800,Washington,West,183.4,167.22,92.72,417.122707673
47.757300,-118.518000,Washington,West,296.28,295.69,280.68,416.844383923
48.303000,-117.599700,Washington,West,19.57,15.52,11.1,419.980443357
48.256200,-117.867100,Washington,West,21.6,12.41,5.03,419.678540756
48.078400,-117.796500,Washington,West,24.36,9.01,3.85,418.775929047
47.947100,-117.461500,Washington,West,237.58,28.65,1.66,417.906064393
47.900800,-117.726600,Washington,West,79.79,36.01,10.33,417.737159700
48.348900,-117.331700,Washington,West,8.14,3.99,2.71,420.201982189
48.259600,-116.727800,Idaho,West,11.54,8.93,5.6,419.712836442
48.798300,-103.057100,North Dakota,Plains,419.42,419.42,419.42,422.667064023
48.170700,-117.263400,Washington,West,183.77,38.35,14.87,419.284005443
48.081000,-116.662500,Idaho,West,135.04,27.14,13.67,418.773197184
48.037200,-116.929500,Idaho,West,50.92,18.89,14.1,418.489526539
47.992500,-117.195800,Washington,West,304.65,247.93,85.41,418.204315788
48.386900,-115.919700,Montana,Plains,1.62,1.12,0.8,420.428400225
48.302900,-116.459000,Idaho,West,40.86,5.67,2.66,419.944035393
48.207500,-115.858000,Montana,Plains,0.08,0.08,0.08,419.468937845
48.166100,-116.126800,Idaho,West,4.36,3.93,3.64,419.198167992
48.124000,-116.394900,Idaho,West,9.04,0.68,0.63,418.916069582
48.427600,-115.649200,Montana,Plains,1.34,0.62,0.27,420.633936486
48.287700,-115.318800,Montana,Plains,10.32,6.03,3.98,419.888638491
48.248000,-115.588700,Montana,Plains,0.8,0.59,0.43,419.683797051
48.481900,-116.523700,Idaho,West,58.51,27.29,9.68,420.931159927
48.796500,-116.927300,Idaho,West,1.48,0.82,0.5,533.892585323
49.047900,-115.283900,Montana,Plains,0,0,0,99.0778569073
48.867300,-115.224200,Montana,Plains,26.87,20.95,15.95,423.066725257
48.751600,-117.199000,Washington,West,0.63,0.45,0.08,422.479511033
48.686900,-115.165000,Montana,Plains,37.29,26.19,18.56,422.167631551
49.008100,-115.559300,Montana,Plains,0,0,0,194.283602438
41.711700,-69.990800,Massachusetts,Northeast US,13.38,13.38,13.38,193.651247976
48.967500,-115.834100,Montana,Plains,2.04,0.85,0.85,290.273168466
48.787400,-115.771900,Montana,Plains,1.53,0.87,0.37,422.772277948
48.647600,-115.437900,Montana,Plains,2.22,1.48,1.06,422.055348220
48.607400,-115.710300,Montana,Plains,1.76,1.42,0.99,421.778847548
48.926000,-116.108400,Idaho,West,0.92,0.42,0,386.296718217
48.883700,-116.382000,Idaho,West,0.37,0.08,0,423.160891835
48.840500,-116.654900,Idaho,West,0,0,0,422.979311967
48.746100,-116.044900,Montana,Plains,0.17,0.03,0,422.524600601
48.661100,-116.589000,Idaho,West,1.64,1.48,0.85,422.009142021
48.566400,-115.982000,Montana,Plains,1.1,0.7,0.44,421.393823735
48.524600,-116.253200,Idaho,West,41.04,16.53,11.34,421.258437404
48.706000,-117.470100,Washington,West,11.21,6.67,2.79,422.270985218
48.617400,-116.860200,Idaho,West,9.34,3.92,1.15,421.799140564
