Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Blue Sky Green Field Wind Farm,In Service,145.2,Fond du Lac County WI,We Energies,We Energies,We Energies,Vestas,88,2008,2,7 - 7.5,7 - 7.5,
Blue Summit,In Service,135.4,Vernon TX,NextEra Energy Resources,NextEra Energy Resources,Undisclosed PPA,GE Energy,80,2012,3,7.5 - 8,8 - 8.5,
Bluegrass Ridge Wind Energy Project,In Service,56.7,Gentry county MO,,Wind Capital Group/John Deere Capital,Associated Electric Cooperative,Suzlon Energy Company,27,2007,3,7 - 7.5,7.5 - 8,
Bobcat Bluff,In Service,150,Windthorst TX,EDF Renewable Energy,Element Power,Merchant (ERCOT),GE Energy,100,2012,2,7.5 - 8,8 - 8.5,
Bolton Valley Resort,In Service,0.1,Bolton Valley VT,,,,Northern Power Systems,1,2009,5,4.5 - 5,5 - 5.5,
Boondocks Truck Stop,In Service,0.07,IA,Boondocks Truck Stop,,Boondocks Truck Stop,,1,2006,4,7.5 - 8,8 - 8.5,
Boyce,In Service,0.1,Alliance OH,Boyce,,Boyce,Northern Power Systems,1,2010,2,5.5 - 6,6 - 6.5,
Bravo Wind,Proposed,29.9,Cassia County ID,,Bravo Wind LLC,,,0,0,5,6 - 6.5,6.5 - 7,
Brazos Wind Ranch,In Service,160,Near Fluvanna TX,Shell Wind Energy/Mitsui,Cielo Wind Power/Orion Energy,Green Mountain Power/ TXU,Mitsubishi,160,2003,5,8.5 - 9,9 - 9.5,
Breezy Bucks I,In Service,1.25,Lake Benton MN,Dave Norgaard / John Deere Wind Energy,Dave Norgaard / John Deere Wind Energy,Xcel Energy,Suzlon Energy Company,1.25,2006,5,8.5 - 9,9 - 9.5,
Breezy Bucks II,In Service,1.25,Lake Benton MN,Breezy Bucks II LLC / John Deere Wind Energy,Breezy Bucks II LLC / John Deere Wind Energy,Xcel Energy,Suzlon Energy Company,1.25,2006,5,8.5 - 9,9 - 9.5,
