Facility,Status,Capacity (MW),Location,Owner,Developer,Energy Purchaser,Turbine Mfg.,No. of Turbines,Commercial Online Date,Wind Power Class,Wind Speed Range - 80m,Wind Speed Range - 100m,Offshore Wind Speed Range - 90m
Pebble Springs,In Service,98.7,Gilliam County near Arlington OR,Iberdrola Renewables,Iberdrola Renewables,LADWP/Burbank/Glendale,Suzlon Energy Company,47,2009,2,5.5 - 6,6 - 6.5,
Peetz Table Wind Energy Center (3Q07),In Service,264,Logan County CO,Florida Power & Light Co.,NextEra Energy Resources,Xcel Energy,GE Energy,176,2007,5,7.5 - 8,8 - 8.5,
Peetz Table Wind Energy Center (4Q07),In Service,136.5,Logan County CO,NextEra Energy Resources,NextEra Energy Resources,Xcel Energy,GE Energy,91,2007,5,7.5 - 8,8 - 8.5,
Penescal,In Service,201.6,Kenedy County TX,Iberdrola Renewables,Iberdrola Renewables,CPS Energy/South Texas Electric Coop.,Mitsubishi,84,2010,2,7 - 7.5,7.5 - 8,
Perrin Ranch,In Service,99.2,Williams AZ,NextEra Energy Resources,NextEra Energy Resources,Arizona Public Service,GE Energy,62,2012,2,6 - 6.5,6 - 6.5,
Petersburg,In Service,40.5,Oakdale NE,Gestamp Wind,Third Planet Wind Power,Omaha Public Power District,GE Energy,27,2011,5,8.5 - 9,9 - 9.5,
Pettisville Local Schools,In Service,0.75,Wauseon OH,Pettisville Local Schools,Pettisville Local Schools,Pettisville Local Schools,Aeronautica,1,2012,2,6 - 6.5,6.5 - 7,
Philips Lightolier,In Service,2,Fall River MA,Philips Lightolier,Boreal Renewables,Net-metered,Sany,1,2012,2,5.5 - 6,5.5 - 6,
Pigeon Creek,In Service,0.9,Near Payson IL,Adams Electric Cooperative,Adams Electric Cooperative,Adams Electric Cooperative,Emergya Wind Technologies,1,2009,2,6 - 6.5,6 - 6.5,
Pilgrim Stage Station,In Service,64.5,Twin Falls County ID,ReunionPower/Exergy,Exergy,,GE Energy,43,2011,2,5 - 5.5,5 - 5.5,
Pine Tree Extension,In Service,15,North of Mojave CA,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,GE Energy,10,2010,7,9 - 9.5,9 - 9.5,
Pine Tree Wind Farm,In Service,120,North of Mojave CA,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,Los Angeles Department of Water and Power,GE Energy,80,2009,7,9 - 9.5,9 - 9.5,
Pinnacle Wind Farm,In Service,55.2,Keyser WV,Edison Mission Energy,US Wind Force,University of Maryland (33%) and Department of General Services (67%),Mitsubishi,23,2012,3,6 - 6.5,6.5 - 7,
Pinyon Pines I (Alta VII),In Service,168,Tehachapi Pass CA,MidAmerican Energy,Terra-Gen Power,Southern California Edison Co,Vestas,56,2012,5,7.5 - 8,7.5 - 8,
Pinyon Pines II (Alta IX),In Service,132,Tehachapi Pass CA,MidAmerican Energy,Terra-Gen Power,Southern California Edison Co,Vestas,44,2012,5,7.5 - 8,7.5 - 8,
Pioneer Grove,In Service,6,Mechanicsville IA,Acciona Windpower,Acciona Energy,Central Iowa Power Cooperative,Acciona Windpower,2,2012,3,7 - 7.5,7.5 - 8,
Pioneer Prairie I (3Q08),In Service,6.6,Northeastern IA IA,Horizon Wind Energy,Horizon Wind Energy,,Vestas,4,2008,3,7.5 - 8,8 - 8.5,
Pioneer Prairie I (4Q08),In Service,191.4,Northeastern IA IA,Horizon,Horizon,N/a,Vestas,116,2008,3,7.5 - 8,8 - 8.5,
Pioneer Prairie II,In Service,102,Northeastern IA IA,Horizon Wind Energy,Horizon Wind Energy,Ameren,Vestas,62,2009,3,7.5 - 8,8 - 8.5,
Pioneer Prairie II,In Service,31.35,Northeastern IA IA,Horizon Wind Energy,Horizon Wind Energy,,Vestas,19,2008,3,7.5 - 8,8 - 8.5,
Pioneer Trail,In Service,150.4,Paxton IL,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Prairie Power Inc / Wabash Valley / SIPC,GE Energy,94,2011,3,7 - 7.5,7.5 - 8,
Pipestone School District,In Service,0.75,Pipestone MN,Pipestone School District,Pipestone School District,Pipestone School District,NEG Micon,1,2003,4,8 - 8.5,8.5 - 9,
Pocahontas Prairie,In Service,80,Pomeroy IA,Algonquin Power,Gamesa,Merchant,Gamesa,40,2012,4,7.5 - 8,8 - 8.5,
Pomeroy II (08),In Service,1.5,Pocahontas County IA,MidAmerican Energy,EnXco,MidAmerican Energy,GE Energy,1,2008,4,7.5 - 8,8 - 8.5,
Pomeroy II (4Q07),In Service,73.5,Pocahontas County IA,MidAmerican Energy,EnXco,MidAmerican Energy,GE Energy,49,2007,4,7.5 - 8,8 - 8.5,
Pomeroy III,In Service,58.5,Pocahontas County IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,GE Energy,39,2008,4,7.5 - 8,8 - 8.5,
Pomeroy IV Wind Farm,In Service,29.9,Pomeroy IA,MidAmerican Energy,MidAmerican Energy,MidAmerican Energy,Siemens,13,2011,4,7.5 - 8,8 - 8.5,
Pomeroy,In Service,123,Pocahontas County IA,MidAmerican Energy,EnXco,MidAmerican Energy,GE Energy,82,2007,4,7.5 - 8,8 - 8.5,
Ponnequin phase I and II (PSCo),In Service,16.5,Weld County CO,Xcel Energy,Utility Engineering,Xcel Energy,NEG Micon,22,1999,5,7.5 - 8,8 - 8.5,
Ponnequin phase III (EUI),In Service,4.5,Weld County CO,,Energy Unlimited,Xcel Energy,NEG Micon,6,1999,5,7.5 - 8,8 - 8.5,
Ponnequin- phase III,In Service,9.9,Weld County CO,Xcel Energy,,Xcel Energy,Vestas,15,2001,5,7.5 - 8,8 - 8.5,
Portage,Under Construction,70,PA,Babcock & Brown,Babcock & Brown,,Gamesa,35,0,2,5.5 - 6,6 - 6.5,
Portsmouth Abbey School Wind Turbine,In Service,0.66,Portsmouth RI,Portsmouth Abbey School,Portsmouth Abbey School,Portsmouth Abbey School,Vestas,1,2006,3,6 - 6.5,6.5 - 7,
Portsmouth Wind Turbine,In Service,1.5,Portsmouth RI,Town of Portsmouth,,Town of Portsmouth,AAER,1,2009,2,6 - 6.5,6.5 - 7,
Post Rock,In Service,201,Ellsworth KS,Wind Capital Group,Wind Capital Group,Westar Energy,GE Energy,134,2012,5,8 - 8.5,8.5 - 9,
Power County,In Service,45,American Falls ID,CG Power Solutions,CG Power Solutions,PacifiCorp,Nordex,18,2011,3,6 - 6.5,6 - 6.5,
Wiota Wind,In Service,1.6,,Wiota Wind Energy LLC,,Farmers Electric Cooperative,GE Energy,1,2012,4,7.5 - 8,8 - 8.5,
Prairie Rose,In Service,199.92,Jasper MN,Geronimo Wind Energy,Geronimo Wind Energy,Xcel Energy,Gamesa,119,2012,4,8 - 8.5,8.5 - 9,
Prairie Star (07),In Service,99,Mower County MN,Horizon Wind Energy,Horizon Wind Energy,Great River Energy,Vestas,60,2007,4,8 - 8.5,8.5 - 9,
Prairie Star (08),In Service,1.65,Mower County MN,Horizon,Horizon,Great River Energy,Vestas,1,2008,4,8 - 8.5,8.5 - 9,
Prairie Winds ND I,In Service,115.5,Ward County ND,Basin Electric,Basin Electric Power,Basin Electric,GE Energy,77,2009,5,8.5 - 9,8.5 - 9,
Prairie Winds,In Service,2.6,Near Minot ND,Basin Electric Power Coop/Central Power Electric Coop,Basin Electric Power Coop/Central Power Electric Coop,Basin Electric Power Coop/Central Power Electric Coop,Nordex,2,2002,5,8.5 - 9,8.5 - 9,
Presque Isle Wind Project,In Service,0.6,University of ME at Presque Isle ME,University of Maine at Presque Isle,,University of Maine at Presque Isle,,1,2009,2,5.5 - 6,6 - 6.5,
Providence Heights,In Service,72,Bureau County IL,Iberdrola Renewables,Midwest Wind Energy,,Gamesa,36,2008,4,7 - 7.5,7.5 - 8,
Pueblo Towers,In Service,1.8,CO,Vestas Towers,Vestas Towers,Vestas Towers,Vestas,1,2010,2,5.5 - 6,6 - 6.5,
Pyron (Roscoe III),In Service,249,Near Roscoe TX,E.On Climate & Renewables,E.On Climate & Renewables,,GE Energy,166,2009,3,8 - 8.5,8.5 - 9,
Rail Splitter Wind Farm,In Service,100.5,Tazewell and Logan Counties IL,Horizon,Horizon,,GE Energy,67,2009,3,6.5 - 7,7 - 7.5,
Ralls Wind Farm,In Service,10,Ralls TX,Ralls Corp,Canyon West,Xcel Energy,Sany,5,2011,4,8 - 8.5,8.5 - 9,
Randolph Eastern School Corporation,In Service,1,Union City IL,Performance Services,,AEP - Indiana Michigan Power,Nordic,1,2010,3,6.5 - 7,7 - 7.5,
Rattlesnake Road,In Service,102.9,Gilliam County west of Arlington OR,Horizon,Horizon,Constellation Energy/PG&E,Suzlon Energy Company,49,2008,3,6 - 6.5,6.5 - 7,
Record Hill,In Service,50.6,Roxbury ME,Wagner Wind Energy - Independence Wind LLC,Wagner Wind Energy - Independence Wind LLC,,Siemens,22,2011,5,5 - 5.5,5 - 5.5,
Red Canyon Wind Farm,In Service,84,Borden TX,NextEra Energy Resources,Florida Power & Light Co.,,GE Energy,56,2006,3,8 - 8.5,8 - 8.5,
Red Hills Wind Farm,In Service,123,North of Elk City OK,Acciona,Acciona,N/A,Acciona,82,2009,5,8 - 8.5,8.5 - 9,
Red Mesa,In Service,102.4,Cibola County near Seboyeta NM,NextEra Energy Resources,Wanzek Construction,,GE Energy,64,2010,3,4.5 - 5,4.5 - 5,
Refurbished Projects,In Service,1.43,Various MT,,Dave Healow,,Refurbished Nordtanks,22,2005,3,6.5 - 7,7 - 7.5,
Richardton Abbey,In Service,0.125,Richardton ND,Richardton Abbey,,Richardton Abbey,Silver Eagle,1,1997,5,8 - 8.5,8.5 - 9,
Richland Community College,In Service,0.1,Decatur IL,,,,Northern Power Systems,1,2009,2,6 - 6.5,6.5 - 7,
Ridgetop Energy,In Service,14,Tehachapi CA,Caithness,,Southern California Edison Co,Vestas,28,1985,7,9 - 9.5,9 - 9.5,
Ridgetop Energy,In Service,12.76,Tehachapi CA,Caithness,,Southern California Edison Co,Nordtank,232,1985,7,9 - 9.5,9 - 9.5,
Ridgetop Energy,In Service,1.3,Tehachapi CA,Caithness,,Southern California Edison Co,Micon,12,1985,2,6.5 - 7,6.5 - 7,
Ridgetop Energy,In Service,0.25,Tehachapi CA,Caithness,,Southern California Edison Co,Micon,1,1985,2,6.5 - 7,6.5 - 7,
Ridgewind,In Service,25.3,Woodstock MN,Ridgewind Power Partners LLC,Project Resources Corporation,Xcel Energy,Siemens,11,2010,4,8 - 8.5,8.5 - 9,
Rim Rock Wind Farm,In Service,189,Glacier and Toole Counties MT,NaturEner,NaturEner,San Diego Gas & Electric,Acciona,126,2012,6,7 - 7.5,7.5 - 8,
Rippey,In Service,50,Rippey IA,RPM Access Wind Development,RPM Access Wind Development,Central Iowa Power Cooperative,Nordex,20,2012,4,7.5 - 8,8 - 8.5,
Roadrunner I,In Service,1.25,Lake Benton MN,Roadrunner I LLC,,Xcel Energy,Suzlon Energy Company,1.25,2006,5,8 - 8.5,8.5 - 9,
Robertsons Ready Mix,In Service,3.2,Cabazon CA,Foundation Windpower,Foundation Windpower,Robertsons Ready Mix,GE Energy,2,2012,4,7.5 - 8,7.5 - 8,
Rock River Wind Farm,In Service,50,Arlington and Carbon Counties WY,Shell Wind Energy,SeaWest,PacifiCorp,Mitsubishi,50,2001,5,8.5 - 9,8.5 - 9,
Rock of Ages,In Service,0.1,Graniteville VT,Rock of Ages,,Rock of Ages,Northern Power Systems,1,2010,2,6 - 6.5,6 - 6.5,
Rockland Wind,In Service,79.2,Power County ID,,Ridgeline,Idaho Power,Vestas,44,2011,4,6.5 - 7,6.5 - 7,
Rocky Ridge I,In Service,148.8,Rocky OK,Enel Green Power North America / TradeWind Energy,TradeWind Energy,Western Farmers Electric Cooperative,GE Energy,93,2012,4,7.5 - 8,8 - 8.5,
Roeder Farms,In Service,1.6,Des Moines IA,5045 Wind Partners,5045 Wind Partners,Alliant Energy,GE Energy,1,2011,4,7.5 - 8,7.5 - 8,
Rolling Hills (IA),In Service,443.9,Massena IA,MidAmerican Energy Company,MidAmerican Energy Company,MidAmerican Energy Company,Siemens,193,2012,4,7.5 - 8,8 - 8.5,
Rolling Hills (WY),In Service,99,Converse WY,EnXco,PacifiCorp,,GE Energy,66,2009,5,9 - 9.5,9.5 - 10,
Rollins Wind,In Service,60,East of Lincoln ME,First Wind,First Wind,Maine Public Utilities Commission / Central Maine Power / Bangor Hydro Electric,GE Energy,40,2011,2,6 - 6.5,6 - 6.5,
Roscoe Wind Farm,In Service,209,Southeast of Roscoe TX,E.On Climate & Renewables,E.On Climate & Renewables,Luminant,Mitsubishi,209,2008,3,7.5 - 8,8 - 8.5,
Rosebud Sioux Wind Energy Project,In Service,0.75,Rosebud Sioux Reservation SD,Rosebud Sioux,Rosebud Sioux,Rosebud Sioux,NEG Micon,1,2003,5,8 - 8.5,8.5 - 9,
Rosiere Wind Farm,In Service,11.22,Kewaunee County WI,Madison Gas & Electric,Madison Gas & Electric,Madison Gas & Electric,Vestas,17,1999,3,6.5 - 7,7 - 7.5,
Roth Rock Wind Power Project,In Service,50,South of Red House MD,Gestamp Wind North America,Synergics,Delmarva Power,Nordex,20,2011,2,6 - 6.5,6 - 6.5,
Rugby,In Service,149.1,Pierce County ND,Iberdrola Renewables,Iberdrola Renewables,Missouri River Energy Services,Suzlon Energy Company,71,2010,4,7.5 - 8,7.5 - 8,
Ruthton Wind Farm,In Service,15.84,Lincoln County MN,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Vestas,24,2001,5,8.5 - 9,8.5 - 9,
SC Johnson Waxdale Plant,In Service,3,Sturtevant WI,SC Johnson,SC Johnson,SC Johnson,VENSYS,2,2012,2,6.5 - 7,7 - 7.5,
Twin Ridges,In Service,139.4,Somerset County PA,EverPower,EverPower,Merchant,REpower,68,2012,3,6 - 6.5,6.5 - 7,
SMUD,In Service,0.66,Solano County CA,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Vestas,1,1999,2,6 - 6.5,6 - 6.5,
Sacred Heart Monastery,In Service,0.26,Richardton ND,Sacred Heart Monastery,,Sacred Heart Monastery,Silver Eagle,2,1997,5,8 - 8.5,8.5 - 9,
Salty Dog I,In Service,1.25,Lake Benton MN,Salty Dog I LLC,,Xcel Energy,Suzlon Energy Company,1.25,2006,5,8 - 8.5,8.5 - 9,
Salty Dog II,In Service,1.25,Lake Benton MN,Salty Dog II LLC,,Xcel Energy,Suzlon Energy Company,1.25,2006,5,8.5 - 9,9 - 9.5,
San Clemente Island,In Service,0.68,San Clemente Island CA,U.S. Navy,Pacific Industrial Electric,U.S. Navy,NEG Micon,3,1998,3,5.5 - 6,5.5 - 6,
San Gorgonio Farms (repower),In Service,5,San Gorgonio CA,San Gorgonio Farms,San Gorgonio Farms,,Vestas,10,0,4,8 - 8.5,8 - 8.5,
San Gorgonio Farms,In Service,2,San Gorgonio CA,,,Southern California Edison Co,Vestas,4,0,4,8 - 8.5,8 - 8.5,
San Gorgonio Farms,In Service,3.19,San Gorgonio CA,,,Southern California Edison Co,Bonus- Micon,49,0,4,8 - 8.5,8 - 8.5,
San Gorgonio Farms,In Service,26,San Gorgonio CA,,,Southern California Edison Co,Bonus; DWT; Micon,222,0,4,8 - 8.5,8 - 8.5,
San Jacinto,In Service,5,San Gorgonio CA,SeaWest,SeaWest,Southern California Edison Co,Vanguard Windmatic,50,0,4,8 - 8.5,8 - 8.5,
San Juan Mesa Wind Farm,In Service,120,Elida County NM,Edison Mission Group owns majority,Edison Mission Group,Xcel Energy,Mitsubishi,120,2005,4,8 - 8.5,8 - 8.5,
Sand Bluff Wind Farm,In Service,90,Near Big Spring TX,E.On Climate & Renewables,E.On Climate & Renewables,Direct Energy,Gamesa,45,2007,4,8 - 8.5,8.5 - 9,
Sandusky Wastewater Treatment,In Service,0.6,Sandusky OH,Sandusky Wastewater Treatment,,Sandusky Wastewater Treatment,Elecon,1,2010,3,6.5 - 7,7 - 7.5,
Sandusky Water Filtration,In Service,0.4,Sandusky OH,Sandusky Water Filtration,,Sandusky Water Filtration,,1,2010,3,6.5 - 7,7 - 7.5,
Sandy Ridge,In Service,50,Bald Eagle PA,Algonquin Power,Gamesa,Merchant,Gamesa,25,2012,3,4.5 - 5,5 - 5.5,
Sawtooth Wind Project,In Service,22.4,Elmore County ID,PowerWorks,PowerWorks (Idaho Winds),Idaho Power / Seattle City Lights,GE Energy,14,2011,3,6 - 6.5,6.5 - 7,
Scituate Wind,In Service,1.5,Scituate MA,Solaya Energy / Palmer Capital,Solaya Energy,Town of Scituate,Sinovel,1,2012,3,6.5 - 7,6.5 - 7,
SeaWest Energy Group,In Service,1.04,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Micon,16,0,4,6.5 - 7,6.5 - 7,
SeaWest Windfarms,In Service,11.57,Altamont Pass CA,SeaWest,SeaWest,Pacific Gas & Electric Co,Micon,178,0,4,6.5 - 7,6.5 - 7,
Searsburg Wind Energy Facility,In Service,6.05,Searsburg VT,EnXco,GE Energy,Green Mountain Power,Zond,11,1997,5,6.5 - 7,7 - 7.5,
Section 28 Trust,In Service,26.2,San Gorgonio CA,,,Southern California Edison Co,Various,287,0,4,8 - 8.5,8 - 8.5,
Senate,In Service,150,Bryson TX,Algonquin Power,Gamesa,Merchant,Gamesa,75,2012,2,7.5 - 8,8 - 8.5,
Settler's Trail,In Service,150.4,Sheldon IL,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Merchant,GE Energy,94,2011,2,7 - 7.5,7.5 - 8,
Seven Mile Hill I & II,In Service,118.5,Between Hanna and Medicine Bow WY,PacifiCorp,PacifiCorp,PacifiCorp,GE Energy,79,2008,6,9.5 - 10,9.5 - 10,
Shady Oaks,In Service,109.5,Shabbona IL,Goldwind,Mainstream Renewable and Goldwind,ComEd,Goldwind,73,2012,3,7 - 7.5,7.5 - 8,
Shane Cowell Wind Farm,In Service,2,Ruthton MN,Shane Cowell/John Deere Wind Energy,Shane Cowell/John Deere Wind Energy,Xcel Energy,Suzlon Energy Company,1,2006,4,8.5 - 9,8.5 - 9,
Shaokatan Hills,In Service,11.88,Hendricks in Lincoln County MN,Edison Mission Group owns majority,Northern Alternative Energy,Xcel Energy,Vestas,18,1999,5,8.5 - 9,9 - 9.5,
Shaokatan Power Partners,In Service,1.6,Lincoln County MN,Northern Alternative Energy,Navitas Energy,Xcel Energy,Gamesa,2,2003,5,8.5 - 9,9 - 9.5,
Sheep Valley Ranch,In Service,0.5,Wheatland MT,,Two Dot Wind LLC,,Windmatic,7,2004,5,6.5 - 7,7 - 7.5,
Sheffield Wind,In Service,40,Northern Caledonia County VT,First Wind,First Wind,Burlington Electric Department / Vermont Electric Cooperative Inc. / Washington Electric Cooperative Inc.,Clipper,16,2011,1,5.5 - 6,5.5 - 6,
Shepherds Flat Central,In Service,290,Gilliam and Morrow Counties OR,Caithness,Caithness,Southern California Edison Co,GE Energy,116,2012,3,5.5 - 6,6 - 6.5,
Shepherds Flat North,In Service,265,Gilliam County OR,Caithness,Caithness,Southern California Edison Co,GE Energy,106,2012,4,6 - 6.5,6.5 - 7,
Shepherds Flat South,In Service,290,Ione OR,Caithness,Caithness,Southern California Edison Co,GE Energy,116,2012,3,5.5 - 6,6 - 6.5,
Sherbino 2,In Service,150,East of Fort Stockton TX,BP Wind Energy,BP Wind Energy,Merchant,Clipper,60,2012,3,8 - 8.5,8.5 - 9,
Sherbino I,In Service,150,Pecos County TX,BP Alternative Energy/Padoma Wind Power,BP Alternative Energy/Padoma Wind Power,Market,Vestas,50,2008,6,8.5 - 9,8.5 - 9,
Shiloh II,In Service,150,Northern CA CA,EnXco,EnXco,Pacific Gas & Electric Co,REPower,75,2009,4,8 - 8.5,8 - 8.5,
Shiloh III,In Service,102.5,Montezuma Hills,EnXco,EnXco,Pacific Gas & Electric Co,REpower,50,2011,4,7.5 - 8,7.5 - 8,
Shiloh IV,In Service,102.5,Birds Landing CA,EDF Renewable Energy,EDF Renewable Energy,Pacific Gas & Electric Co,REpower,100,2012,4,7.5 - 8,7.5 - 8,
Shiloh Wind Power Project,In Service,150,Solano County CA,PPM Energy Inc,PPM Energy Inc,PG&E -Modesto Irrigation District & City of Palo Alto Utilities,GE Energy,100,2006,4,7 - 7.5,7.5 - 8,
Shirley,In Service,20,South of Green Bay WI,Central Hudson Enterprises Corp.,Emerging Energies,WPS,Nordex USA,8,2010,3,7 - 7.5,7 - 7.5,
Shooting Star,In Service,104,Greensburg KS,Exelon Wind,Infinity Wind Power,Sunflower Electric Power Corporation,GE Energy,65,2012,5,8 - 8.5,8.5 - 9,
Sibley Hills,In Service,0.66,Sibley IA,Northern Alternative Energy,Northern Alternative Energy,Alliant/IES Utilities,Vestas,1,2003,4,8 - 8.5,8.5 - 9,
Sibley Wind Farm,In Service,1.2,Sibley IA,Northern Alternative Energy,Northern Alternative Energy,Alliant/IES Utilities,NEG Micon,2,1997,4,8 - 8.5,8.5 - 9,
Sigel Wind Park,In Service,70,Harbor Beach MI,Detroit Edison,Detroit Edison,Detroit Edison,GE Energy,44,2012,3,7 - 7.5,7 - 7.5,
Silver Sage,In Service,42,West of Cheyenne WY,Duke Energy Carolinas LLC,Duke Energy Carolinas LLC,Cheyenne Light Fuel & Power,Suzlon Energy Company,20,2009,5,8.5 - 9,8.5 - 9,
Silver Star,In Service,60,Eastland and Erath Counties TX,BP Alternative Energy/Clipper,BP Alternative Energy/Clipper,Market,Clipper Windpower,24,2008,2,7.5 - 8,8 - 8.5,
Sky River,In Service,76.95,Tehachapi CA,NextEra Energy Resources,Zond Systems,Southern California Edison Co,Vestas,342,1993,7,9 - 9.5,9 - 9.5,
Sky Volt,In Service,1.68,Greenfield IA,Sky Volt LLC (community owned),,City of Greenfield - excess to Central Iowa Power Cooperative,GE Energy,1,2012,4,7.5 - 8,8 - 8.5,
Sleeping Bear Wind Farm,In Service,94.5,Harper County OK,Edison Mission Group,Chermac Energy Corp./Edison Mission Group,AEP - Public Service of Oklahoma,Suzlon Energy Company,45,2007,5,7.5 - 8,8 - 8.5,
Smoky Hills II,In Service,148.5,Lincoln County KS,Enel North America,TradeWind Energy,,GE Energy,99,2008,5,8 - 8.5,8.5 - 9,
Smoky Hills Wind Farm,In Service,100.8,Lincoln County KS,Enel North America,TradeWind Energy,Sunflower Electric/Midwest Energy/BPU,Vestas,56,2008,5,8 - 8.5,8.5 - 9,
Snyder Wind Project,In Service,63,Scurry County TX,Enel North America,Windkraft Nord/Enel North America,,Vestas,21,2007,3,8 - 8.5,8.5 - 9,
Solano County,In Service,60,Solano County CA,,Kenetech Windpower,Pacific Gas & Electric Co,Kenetech,600,1985,4,7.5 - 8,7.5 - 8,
Solano IIA,In Service,24,Solano County CA,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Vestas,8,2006,5,8 - 8.5,8 - 8.5,
Solano Phase 3,In Service,128,Birds Landing CA,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Vestas,0,2012,4,7.5 - 8,7.5 - 8,
Solano Wind Project Phase I,In Service,10.56,Solano County CA,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Vestas,16,2003,5,8 - 8.5,8 - 8.5,
Solano Wind Project,In Service,63,Solano CA,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Vestas,21,2007,5,8 - 8.5,8 - 8.5,
Solano Wind Project- phase II,In Service,4.62,Solano County CA,Sacramento Municipal Utility District,NextEra Energy Resources,Sacramento Municipal Utility District,Vestas,7,2004,5,8 - 8.5,8 - 8.5,
Somerset Wind Power Project,In Service,9,Somerset County PA,NextEra Energy Resources,Atlantic Renewable Energy,Exelon,GE Energy,6,2001,2,6.5 - 7,6.5 - 7,
South Chestnut,In Service,46,Gibbon Glade PA,Iberdrola Renewables,Iberdrola Renewables,Merchant,Gamesa,23,2012,3,5 - 5.5,5.5 - 6,
South Holt Wind Farm,In Service,0.1,Southold NY,Long Island Power Authority,Long Island Power Authority,Long Island Power Authority,Atlantic Orient Co.,2,2005,3,7 - 7.5,7 - 7.5,
South Trent Mesa,In Service,101.2,Trent TX,Babcock & Brown,Babcock & Brown,,Siemens,44,2009,4,8.5 - 9,9 - 9.5,
So. Cal. Sunbelt,In Service,4.94,San Gorgonio CA,,,Southern California Edison Co,Windmatic,52,0,4,8 - 8.5,8 - 8.5,
So. Cal. Sunbelt,In Service,5.53,San Gorgonio CA,,,Southern California Edison Co,Windmatic,85,0,4,8 - 8.5,8 - 8.5,
Southern Minnesota Hills,In Service,1.9,Fairmont MN,Northern Alternative Energy,Northern Alternative Energy,Southern Minnesota Municipal Power Agency,NEG Micon,2,2003,4,7.5 - 8,8 - 8.5,
Trinity Hills,In Service,225,Archer and Yound Counties TX,BP Wind Energy,BP Wind Energy,Merchant,Clipper,90,2012,2,7.5 - 8,8 - 8.5,
Southern Minnesota Municipal Power Agency (SMMPA),In Service,3.3,Fairmont MN,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Vestas,2,2005,3,7 - 7.5,7.5 - 8,
Southern Minnesota Municipal Power Agency (SMMPA),In Service,3.3,Redwood Falls MN,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Southern Minnesota Municipal Power Agency,Vestas,2,2004,3,7 - 7.5,7 - 7.5,
Southwest Mesa Wind Farm,In Service,74.9,McCamey TX,NextEra Energy Resources,Cielo Wind Power,American Electric Power Co. Inc.,NEG Micon,107,1999,6,8 - 8.5,8.5 - 9,
Spanish Fork Wind Farm,In Service,18.9,Utah County near Spanish Fork UT,Edison Mission Group,Edison Mission Group,PacifiCorp,Suzlon Energy Company,9,2008,1,4 - 4.5,4 - 4.5,
Spearville 3,In Service,100.8,Spearville KS,EnXco,EnXco,Kansas City Power & Light Co,GE Energy,63,2012,5,8.5 - 9,8.5 - 9,
Spearville Wind Energy Facility,In Service,100.5,Northeast of Dodge City KS,Kansas City Power & Light,EnXco,Kansas City Power & Light,GE Energy,67,2006,5,8.5 - 9,8.5 - 9,
Spinning Spur Wind Ranch,In Service,161,Vega TX,EnXco,Cielo,Xcel Energy,Siemens,70,2012,4,8.5 - 9,9 - 9.5,
Spion Kop,In Service,40,Geyser MT,NorthWestern Energy,Compass Wind,NorthWestern Energy,Acciona Windpower,25,2012,5,7.5 - 8,8 - 8.5,
Spirit Lake II,In Service,0.75,Spirit Lake IA,Spirit Lake School Dist,Spirit Lake School District,Spirit Lake School District,NEG Micon,1,2001,4,8 - 8.5,8.5 - 9,
Spirit Lake,In Service,0.25,Spirit Lake IA,Spirit Lake School,Minnesota Windpower,Alliant/IES Utilities,WindWorld,1,1992,4,8 - 8.5,8.5 - 9,
Spring Canyon Wind Farm,In Service,60,Near Peetz CO,Invenergy,Invenergy,Xcel Energy,GE Energy,40,2006,5,7.5 - 8,8 - 8.5,
Spring Valley,In Service,151.8,Ely NV,Pattern Energy,Pattern Energy,Nevada Power Co,Siemens,66,2012,3,6 - 6.5,6.5 - 7,
Springview II Wind Project,In Service,3,Springview NE,Bluestem LLC,Bluestem LLC,NPPD,VENSYS,2,2011,4,8 - 8.5,8.5 - 9,
Spruce Mountain,In Service,20,Bryant Pond ME,Patriot Renewables,Patriot Renewables,Energy New England,Gamesa,10,2011,2,5.5 - 6,6 - 6.5,
St. Mary's,In Service,1.5,North of St. Marys KS,Western Resources,,Western Resources,GE Energy,2,1999,3,7 - 7.5,7.5 - 8,
St. Olaf Wind Project,In Service,1.65,Northfield MN,St. Olaf College,St. Olaf College,St. Olaf College,Vestas,1,2006,3,6.5 - 7,7 - 7.5,
