Department,Name
BOR,East Canyon Reservoir
BOR,East Park Reservoir
BOR,Echo Reservoir
BOR,Eden Reservoir
BOR,Enders Reservoir
BOR,Elephant Butte Reservoir
BOR,Emigrant Lake
BIA,Miccosukee Indian Reservation
BIA,Middletown Rancheria
BOR,Folsom Lake
BOR,Fontenelle Reservoir
BOR,Fort Cobb Reservoir
BOR,Foss Reservoir
BOR,Horseshoe Reservoir
NPS,Fort Necessity National Battlefield
BOR,Fresno Reservoir
BOR,Gerber Reservoir
BOR,Gibson Reservoir
BOR,Horsetooth Reservoir
BOR,Howard Prairie Lake
NPS,Harpers Ferry National Historical Park
BOR,Glendo Reservoir
BOR,Grassy Lake
BOR,Green Mountain Reservoir
BOR,Guernsey Reservoir
BOR,Harry Strunk Lake
BOR,Henry Hagg Reservoir
BOR,Heron Reservoir
NPS,Apostle Islands National Lakeshore
BOR,Humboldt Wildlife Management Area
BOR,Hungry Horse Reservoir
BOR,Island Park Reservoir
BOR,Jackson Lake
BOR,Jamestown Reservoir
BOR,Kachess Lake
BOR,Keechelus Lake
BOR,Keith Sebelius Lake
BOR,Keswick Reservoir
BOR,Keyhole Reservoir
BOR,Lake Casitas
BOR,Lake Como
DOD,Atlantic Field Marine Corps Air Station
BOR,Lake Thunderbird
BOR,Lahontan Reservoir
BOR,Lake Berryessa
BOR,Lake Boreham
BOR,Lake Cachuma
BOR,Lake Elwell
BOR,Lake Mead
BOR,Lake Mead
BOR,Lake Texana
BLM,Burnt Timber Canyon Wilderness Study Area
BOR,Lake Meredith
BOR,Lake Minatare
BOR,Lake Mohave
BOR,Lake Natoma
BOR,Lake Powell
BOR,Lake Sherburne
BOR,Millerton Lake
BOR,Lake Travis
BOR,Lake Tschida
BOR,Lemon Reservoir
BOR,Little Wood Reservoir
BOR,Lost Creek Reservoir
BOR,Lovewell Reservoir
BOR,McGee Creek Reservoir
BOR,McKay Reservoir
BOR,McPhee Reservoir
BOR,Meeks Cabin Reservoir
BOR,Merritt Reservoir
BOR,New Melones Reservoir
BOR,Newton Reservoir
BOR,Moses Lake
BOR,Navajo Reservoir
BOR,Nelson Reservoir
FWS,Desert National Wildlife Range
BOR,O'Neill Forebay
BOR,Ocean Lake
BOR,Palisades Reservoir
BOR,Paonia Reservoir
BOR,Stillwater Wildlife Management Area
BOR,Stony Gorge Reservoir
BOR,Swanson Lake
BOR,Taylor Park Reservoir
BOR,Owyhee Reservoir
BOR,Pactola Reservoir
BOR,Rimrock Lake
