Bus Name,Number of Lines,Total Capacity (kV)
Nevada Power Co,1,345
Empire District Electric Co (The),1,69
KAMO Electric Coop Inc,1,69
Empire District Electric Co (The),1,69
KAMO Electric Coop Inc,1,69
Southern California Edison Co,1,500
Southern California Edison Co,1,500
Nevada Power Co,1,345
Undetermined Company,1,161
Undetermined Company,1,161
Undetermined Company,1,138
Undetermined Company,1,161
Undetermined Company,1,138
Undetermined Company,1,161
Empire District Electric Co (The),1,161
Southwestern Power Administration,1,69
Empire District Electric Co (The),1,69
Southwestern Power Administration,1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Undetermined Company,1,138
Undetermined Company,1,69
Undetermined Company,1,345
KAMO Electric Coop Inc,1,69
Southwestern Power Administration,1,69
Undetermined Company,1,161
Undetermined Company,1,161
Undetermined Company,1,161
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Southwestern Power Administration,1,345
Southwestern Power Administration,1,69
KAMO Electric Coop Inc,1,161
Entergy Arkansas Inc,1,161
Entergy Arkansas Inc,1,161
Southwestern Power Administration,1,161
Undetermined Company,1,161
Undetermined Company,1,161
Undetermined Company,1,69
Southwestern Electric Power Co,1,345
Undetermined Company,1,4
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,345
Undetermined Company,1,4
Southwestern Power Administration,1,345
Undetermined Company,1,138
Undetermined Company,1,69
Undetermined Company,1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Grand River Dam Authority,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
PacifiCorp,1,46
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
KAMO Electric Coop Inc,2,138
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
Springfield MO (City of),1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,4
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
PacifiCorp,1,46
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,69
Undetermined Company,1,345
Undetermined Company,1,4
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
Southwestern Power Administration,1,69
PacifiCorp,1,46
Southwestern Power Administration,1,345
Undetermined Company,1,69
Southwestern Electric Power Co,1,345
Empire District Electric Co (The),1,161
PacifiCorp,1,46
Undetermined Company,1,161
Empire District Electric Co (The),1,161
Empire District Electric Co (The),1,161
Southwestern Power Administration,1,161
Southwestern Power Administration,1,161
Southwestern Power Administration,1,161
Southwestern Power Administration,1,161
Empire District Electric Co (The),1,161
KAMO Electric Coop Inc,1,69
Southwestern Power Administration,1,161
Sho ME Power Electric Coop,1,161
Sho ME Power Electric Coop,1,161
Undetermined Company,1,161
Undetermined Company,1,161
Undetermined Company,1,161
Undetermined Company,1,161
Entergy Arkansas Inc,1,161
PacifiCorp,1,46
Entergy Arkansas Inc,1,161
Entergy Arkansas Inc,1,161
Undetermined Company,1,138
Undetermined Company,1,161
Undetermined Company,1,138
Southwestern Electric Power Co,1,161
Empire District Electric Co (The),1,161
KAMO Electric Coop Inc,1,69
Empire District Electric Co (The),1,161
Empire District Electric Co (The),1,161
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,161
Undetermined Company,1,115
Undetermined Company,1,161
KAMO Electric Coop Inc,1,69
Undetermined Company,1,4
KAMO Electric Coop Inc,1,69
KAMO Electric Coop Inc,1,69
Empire District Electric Co (The),2,138
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
Undetermined Company,1,4
KAMO Electric Coop Inc,1,69
Empire District Electric Co (The),1,69
Empire District Electric Co (The),2,138
Empire District Electric Co (The),2,138
Empire District Electric Co (The),1,69
Empire District Electric Co (The),1,69
